size,MSE,Time(sec),Average memory usage,Maximum memory usage
50000,0.706703536,25.83558798,3288.657834,3708.960938
100000,0.680830667,30.48508692,3379.669347,3745.222656
500000,0.643310061,80.84767699,3545.894755,3987.566406
1000000,0.63340605,141.2437828,3517.676479,4463.109375
1300000,0.630968404,203.0305822,3880.841973,5151.054688
